Condition_x,Coordinates,Condition_y
,"49.23906066129272, -123.18812586724277",Very Good
,"49.23906114365152, -123.1882632432575",Very Good
VERY GOOD,"49.23906164713421, -123.11246914342003",
VERY POOR,"49.239063387096266, -123.18819367202441",
,"49.239066667499195, -123.04000796540655",Poor
,"49.239068055238356, -123.15032574416414",Poor
,"49.2390695568067, -123.19088429969642",Very Good
,"49.23907112584438, -123.14093303769226",Fair
GOOD,"49.23907179701275, -123.04516811282177",
VERY POOR,"49.23907180761219, -123.10249791000707",
VERY POOR,"49.23907299271001, -123.19095201035243",
POOR,"49.23907604409241, -123.14786581410023",
,"49.23907655273116, -123.14492454763068",Good
FAIR,"49.23908134449334, -123.19371171017691",
,"49.23908227256548, -123.19364389767196",Good
VERY POOR,"49.2390896579716, -123.19681180102644",
,"49.23909294567694, -123.19679425381013",Very Good
,"49.239097540361875, -123.14630424355488",Good
,"49.2390996437685, -123.04510738756728",Good
,"49.2391061207346, -123.05220215886851",Very Good
,"49.239110891208114, -123.10219347670346",Very Good
VERY POOR,"49.239112865385806, -123.15031736826579",
,"49.239113548135535, -123.15336553440969",Fair
,"49.23912111506966, -123.14786953281684",Fair
,"49.239129221438546, -123.1031370757407",Very Good
,"49.23915414433763, -123.04781271006111",Very Good
,"49.23915798503762, -123.15032242466059",Good
GOOD,"49.23915835038379, -123.15335919305703",
POOR,"49.23915885027832, -123.0309814519088",
POOR,"49.23917597155201, -123.0500347698102",
,"49.23918200587955, -123.03104039543706",Very Good
VERY POOR,"49.23920009458372, -123.0949728222456",
,"49.239200492653595, -123.06694475823132",Poor
,"49.23920342389074, -123.15335897811931",Good
,"49.23920914922332, -123.08024115547363",Good
,"49.239209554549674, -123.08010373524657",Very Poor
POOR,"49.23921583048145, -123.08128542248089",
GOOD,"49.239216619629275, -123.08017263540752",
,"49.23921765784567, -123.0812174235132",Very Poor
,"49.23921887292727, -123.0813547922402",Very Poor
VERY POOR,"49.23922712348207, -123.08239857930283",
,"49.2392283769236, -123.08233061563759",Very Poor
,"49.239229704782055, -123.08246797710984",Good
,"49.23923009912946, -123.04773907980308",Good
GOOD,"49.23923375559566, -123.03420475085606",
,"49.23923614226981, -123.09690233930992",Good
,"49.23923858002551, -123.09703965781851",Very Good
POOR,"49.23923912703042, -123.09697011938465",
,"49.239239306362435, -123.08344373918355",Very Poor
FAIR,"49.23923939341711, -123.08351167731699",
,"49.23924068235838, -123.08358110591902",Very Poor
,"49.23924454627981, -123.0699114051626",Good
POOR,"49.23924586997009, -123.06694601356324",
,"49.23925016899211, -123.08455537677511",Poor
POOR,"49.239250795023494, -123.08462328374756",
,"49.23925151598117, -123.08469274147973",Poor
,"49.23925245556953, -123.15678184365322",Good
,"49.23925507489251, -123.043100244475",Very Good
FAIR,"49.23925794918963, -123.02672327421446",
GOOD,"49.23925946613085, -123.08573644653214",
,"49.2392609570001, -123.08566848370629",Good
,"49.23926205165925, -123.08580585648016",Fair
FAIR,"49.2392693532803, -123.08684921114296",
,"49.23926983037391, -123.0867812713537",Good
,"49.2392711609155, -123.08691863832738",Fair
,"49.23927996211737, -123.08789672258808",Very Good
FAIR,"49.23928060818231, -123.04315674557284",
,"49.23928133690807, -123.08803437333981",Fair
GOOD,"49.239281347989085, -123.08796372587015",
,"49.2392847151113, -123.07267269781177",Very Good
,"49.23928576430474, -123.09044321706396",Very Good
,"49.23928686488921, -123.15896591725058",Very Good
VERY GOOD,"49.239289958342695, -123.06991260530937",
GOOD,"49.23929040749047, -123.08915989719912",
,"49.239290421931194, -123.06694167882763",Fair
,"49.23929277417673, -123.08909191695365",Very Good
,"49.23929426726633, -123.08922927618293",Poor
,"49.239296594419464, -123.10009036700525",Very Good
NO DATA,"49.239297289932885, -123.15677925384114",
,"49.23929928202391, -123.10022768570022",Very Good
POOR,"49.239300035451365, -123.10015808309497",
,"49.239302337185364, -123.04321717428377",Very Good
,"49.23930639937238, -123.0903052646704",Good
GOOD,"49.239307708191966, -123.0903731080798",
,"49.23932112073494, -123.16116786033336",Very Good
VERY GOOD,"49.23932257262972, -123.05543820910358",
,"49.23932608269934, -123.05536946502477",Very Good
,"49.23932686233011, -123.05550683782968",Very Good
,"49.23932781559897, -123.05459345348443",Very Good
POOR,"49.239330039580224, -123.07266633708608",
VERY GOOD,"49.23933157579525, -123.1589560712751",
,"49.23933447364824, -123.06990822126578",Fair
GOOD,"49.23933514375126, -123.05452541542269",
,"49.239336157417114, -123.0777660729496",Very Poor
,"49.23934208689322, -123.1567601329948",Good
,"49.23934424575491, -123.05866478219284",Very Good
,"49.23934615937965, -123.05880212202713",Very Good
,"49.23934707963755, -123.0544399667978",Very Good
FAIR,"49.23934755531955, -123.05873337411974",
GOOD,"49.23936596256858, -123.1611672404171",
,"49.23936787908047, -123.06282512588389",Very Good
,"49.23936864990082, -123.06296251458474",Very Good
VERY POOR,"49.23937160056531, -123.12332479718926",
,"49.239371847420664, -123.03612786036942",Very Good
GOOD,"49.23937276199767, -123.06289323449127",
,"49.239373882534274, -123.16414357915711",Good
,"49.239374642605654, -123.07266943649866",Very Good
,"49.23937650073431, -123.15894425178165",Fair
FAIR,"49.23937821007315, -123.11609625632985",
FAIR,"49.239381455847365, -123.0777574968",
,"49.23938459254302, -123.0257294449522",Very Good
,"49.23939480323091, -123.04107720343353",Very Poor
FAIR,"49.23940218987214, -123.04714308404569",
,"49.23940643599755, -123.02865720902167",Poor
,"49.239409561043615, -123.16688177208935",Very Good
VERY POOR,"49.239409930525845, -123.03609036942038",
,"49.23941104192139, -123.16116449178206",Very Good
VERY POOR,"49.239418668792275, -123.16414038319401",
,"49.239418750344576, -123.1691577974982",Very Good
,"49.239425973993754, -123.0777561922246",Fair
,"49.23942654187904, -123.04720092016342",Fair
FAIR,"49.239428679091084, -123.0257067287952",
,"49.239428687919414, -123.17164248479453",Very Good
GOOD,"49.239431726585906, -123.0410368584903",
,"49.239435001142226, -123.05080710784101",Fair
,"49.239439680435105, -123.17440503308697",Very Good
,"49.239443476756456, -123.14413598283129",Very Good
VERY GOOD,"49.23944599562823, -123.0286233765152",
,"49.23944796104912, -123.0360546309895",Poor
,"49.239449774718636, -123.04855075034993",Very Good
,"49.239450912906506, -123.17723638970263",Good
FAIR,"49.23945436049181, -123.16688035821882",
,"49.23945813256229, -123.03751291752012",Very Good
,"49.239461558166546, -123.18033981873614",Good
GOOD,"49.23946353239087, -123.16915393897975",
,"49.23946381262957, -123.16414033280674",Very Poor
,"49.23946840303862, -123.14427252042569",Very Good
POOR,"49.23946870149615, -123.14420279138743",
,"49.23947074473318, -123.04100356934515",Fair
,"49.23947092086563, -123.02855592252725",Poor
,"49.239473148994556, -123.1836411529779",Very Good
VERY POOR,"49.23947346011178, -123.17164044945693",
,"49.239475679268686, -123.02569266456486",Good
,"49.23947606233711, -123.13934442942427",Very Good
,"49.239478280342354, -123.13948176685409",Very Good
NO DATA,"49.23948445832509, -123.1744085833599",
,"49.23948514633487, -123.18674054522073",Very Good
,"49.239488014927694, -123.1455478547653",Very Good
VERY GOOD,"49.239489803347595, -123.14561549300107",
,"49.239490104041764, -123.14568518994662",Very Good
,"49.23949559471279, -123.18957134143345",Very Good
FAIR,"49.23949567002387, -123.17723854458988",
,"49.23949950372579, -123.16687920390984",Good
VERY GOOD,"49.23950628023917, -123.1803363966707",
,"49.23950633038262, -123.19233059977117",Good
,"49.239508312802855, -123.14689386127255",Very Good
,"49.239508700338334, -123.16915641493904",Very Good
GOOD,"49.23950967385089, -123.14696150587845",
,"49.23951040044822, -123.1470311930312",Poor
,"49.2395114098102, -123.05073441723812",Poor
VERY GOOD,"49.23951220531251, -123.03326031112974",
,"49.23951778332453, -123.19528509208789",Poor
VERY GOOD,"49.23951783546243, -123.18363344467477",
,"49.23951864137783, -123.17164182113243",Poor
,"49.239523418102074, -123.1424930305838",Fair
FAIR,"49.23952413868959, -123.0462842327069",
VERY POOR,"49.23952429597179, -123.14242327930235",
,"49.2395248469159, -123.14235555912262",Fair
,"49.2395265926159, -123.04847927848246",Good
,"49.23952963393772, -123.17440435383523",Good
VERY POOR,"49.23952986049128, -123.18673815582677",
,"49.239535662890866, -123.14867843337808",Very Good
,"49.239537725697915, -123.14881577327805",Very Good
POOR,"49.23954032592801, -123.18957498700524",
,"49.23954086693429, -123.17723567056291",Fair
,"49.23954313335564, -123.12781551128802",Poor
,"49.239548062819544, -123.12795276323956",Very Good
POOR,"49.239551049306485, -123.19232938521834",
,"49.23955151169052, -123.18033915026294",Good
,"49.239562064722335, -123.09595905910497",Very Poor
POOR,"49.23956240400324, -123.19525550678539",
,"49.23956310177616, -123.18364035435836",Good
,"49.239563908993496, -123.04625269415777",Very Good
,"49.23957509991224, -123.18673986776545",Very Good
,"49.23957897320978, -123.09823979400859",Very Good
,"49.239581620281456, -123.15179932836143",Good
,"49.239583661396814, -123.15193666881932",Very Good
,"49.239585539296435, -123.18957067595387",Very Good
POOR,"49.23958943189907, -123.0243672693113",
,"49.23959628386513, -123.19233000115773",Very Good
,"49.23959776097503, -123.0652760367082",Very Good
,"49.239602284495525, -123.0330915916421",Very Good
,"49.239607736737184, -123.1952845469229",Good
POOR,"49.239609225021475, -123.095959762825",
FAIR,"49.23962361649516, -123.09820012801578",
,"49.239631033073444, -123.0521911402248",Poor
,"49.23963175786754, -123.06541232092052",Very Good
VERY POOR,"49.239645005413976, -123.15470408729725",
,"49.23964503072092, -123.1546384337812",Very Good
FAIR,"49.2396500750351, -123.03724742025678",
GOOD,"49.23965621513369, -123.05224800052328",
,"49.23966889297489, -123.09823589905207",Very Good
,"49.23968083833656, -123.06844584697585",Very Good
POOR,"49.23968295232906, -123.0685139624055",
FAIR,"49.23970009285565, -123.14874026141412",
,"49.23970134637164, -123.05228553489148",Very Good
,"49.23970435071549, -123.11753521355928",Very Good
,"49.239713905804166, -123.05547546143833",Good
VERY GOOD,"49.23972272561777, -123.0712749661306",
,"49.23972491024011, -123.03856361937939",Good
,"49.2397249959772, -123.07134418101846",Very Good
,"49.23972527673152, -123.05754249915883",Good
,"49.239739829403625, -123.07410745366221",Very Poor
,"49.23974396965729, -123.06080126316647",Good
FAIR,"49.239748114153336, -123.0386223726385",
,"49.23975365695097, -123.10145202221692",Very Good
,"49.23975742226099, -123.15530642839467",Very Good
VERY GOOD,"49.23975986382419, -123.07403747326475",
VERY POOR,"49.23976049312381, -123.15537401933422",
FAIR,"49.23976066349295, -123.05567087347954",
,"49.23976070171829, -123.0739687351804",Very Good
,"49.23976141572688, -123.1554436985509",Very Good
POOR,"49.23977191398933, -123.05777246911073",
,"49.23977230247219, -123.0386803914934",Very Good
,"49.23977696282122, -123.04201176649991",Very Good
,"49.23977880030806, -123.10158833417707",Very Good
POOR,"49.23978215259194, -123.10151861016713",
,"49.2397848706703, -123.07650687384158",Very Good
GOOD,"49.23978925071989, -123.06079471355271",
,"49.23979462244034, -123.07908662512456",Fair
VERY POOR,"49.239798796855446, -123.15185908412771",
,"49.23979960076353, -123.15786210242518",Very Good
,"49.23980067000727, -123.10274026342638",Very Good
,"49.239801647055764, -123.03571496207105",Very Good
,"49.23980177930385, -123.15800445287137",Very Good
VERY POOR,"49.2398021888127, -123.10280804919839",
GOOD,"49.23980313086297, -123.15793112234269",
,"49.23980330035062, -123.1028775803394",Fair
,"49.23980350722559, -123.05541565031342",Very Good
VERY POOR,"49.23981027508643, -123.12010173488497",
FAIR,"49.23981292543098, -123.04196902700345",
,"49.23981583034595, -123.05764667667691",Good
,"49.23981643939539, -123.02964913991698",Very Good
FAIR,"49.23981829855314, -123.07901945436865",
,"49.23982437073954, -123.06412654274827",Very Good
,"49.23982782068102, -123.15966900586379",Very Good
,"49.23982994700871, -123.15980634340376",Very Good
FAIR,"49.23983160331337, -123.15973658220558",
,"49.23983390562029, -123.06079834433766",Good
FAIR,"49.23983919436376, -123.03567619420316",
POOR,"49.23983972857751, -123.04937872963832",
FAIR,"49.23984982772713, -123.06411140576768",
,"49.239852958842384, -123.04193825009696",Very Good
VERY GOOD,"49.239854166252535, -123.02961097947055",
,"49.23986734912556, -123.12009024650678",Very Good
,"49.23986850220941, -123.06409795161495",Good
,"49.23987330556305, -123.16262744566626",Fair
NO DATA,"49.23987457331976, -123.16255769130902",
,"49.239879855245945, -123.14489591923214",Good
,"49.23989278907254, -123.02957649547739",Very Poor
,"49.23990087994545, -123.14627490227707",Very Good
,"49.239910300207605, -123.05430064567149",Very Good
,"49.23992235105526, -123.14050264711061",Good
,"49.239923377110514, -123.165622102361",Very Good
FAIR,"49.23992360057994, -123.16568986375499",
,"49.23992479884922, -123.16575946538718",Very Good
VERY POOR,"49.239924858824324, -123.14489619030456",
,"49.239924945519135, -123.14784001918517",Very Good
VERY GOOD,"49.23993305584211, -123.16804227153057",
,"49.23994257363718, -123.17018777624271",Very Good
,"49.23994312227098, -123.17032515852543",Very Good
POOR,"49.23994388694234, -123.17025554058388",
NO DATA,"49.23994406380474, -123.13898878073907",
VERY POOR,"49.23994578593107, -123.14626962281251",
VERY POOR,"49.23995274908862, -123.06533250624562",
,"49.23995353983549, -123.17295209070545",Fair
,"49.239954085178084, -123.1730894723143",Fair
FAIR,"49.23995559315299, -123.17301986986398",
,"49.23996136212262, -123.15029270899065",Fair
GOOD,"49.23996311131975, -123.17578053787534",
,"49.2399649696037, -123.17585010396111",Very Good
VERY POOR,"49.239969839811316, -123.14783533392834",
VERY POOR,"49.23997349193991, -123.14089783943784",
FAIR,"49.2399744975499, -123.17868145595315",
,"49.23997580677556, -123.17861364335873",Fair
,"49.23997627338416, -123.17875102606776",Poor
GOOD,"49.23998456671325, -123.18198455005876",
,"49.23998567218916, -123.18191669923183",Good
,"49.23998615295875, -123.18205408609734",Good
,"49.23999080950108, -123.14627167153178",Very Good
,"49.239998409076804, -123.18521617978843",Very Good
GOOD,"49.2399984241099, -123.1852839997983",
,"49.23999888583564, -123.18535356250067",Good
,"49.24000394520738, -123.15316834059854",Very Good
,"49.240006090131395, -123.036824531155",Fair
VERY POOR,"49.24000621597451, -123.1502869432717",
,"49.2400064669485, -123.09700812169679",Good
FAIR,"49.24000794141131, -123.09693855150061",
,"49.24001227684852, -123.1404993392101",Very Good
GOOD,"49.24001237775013, -123.18818592160464",
,"49.24001337568096, -123.09687040655518",Good
,"49.24001486630482, -123.14783664700423",Good
,"49.24001855762657, -123.19087735406146",Very Good
,"49.24001976719029, -123.0449934667333",Fair
POOR,"49.240021973143065, -123.19094515832944",
,"49.24002977857176, -123.19363904438323",Very Good
GOOD,"49.24003033739753, -123.19370682796647",
,"49.24003459777584, -123.03695940466388",Very Good
,"49.24004139016258, -123.06752343791628",Very Good
,"49.240047277659954, -123.19678734148971",Very Good
POOR,"49.24004738625065, -123.04504794205106",
VERY POOR,"49.24004797173248, -123.1968058564795",
FAIR,"49.240048481580345, -123.15314372580634",
,"49.240048808055775, -123.02734851224687",Very Good
,"49.2400512829646, -123.15028934812958",Fair
FAIR,"49.240063282636086, -123.06597351733069",
,"49.240066937584004, -123.04511046877857",Poor
,"49.24007024932449, -123.06988156989267",Very Good
FAIR,"49.24008149690498, -123.04648324851593",
POOR,"49.2400853558101, -123.02730740247371",
FAIR,"49.24008715993624, -123.06755866054229",
,"49.240094188890055, -123.1531859709168",Very Good
FAIR,"49.24009881011854, -123.02591334971035",
,"49.240100296216916, -123.05015450269113",Fair
,"49.240106175791475, -123.04654078529485",Fair
,"49.24010892021245, -123.06596952964469",Good
FAIR,"49.24011564560162, -123.06987995208506",
,"49.240117159116444, -123.07309186465417",Fair
,"49.240124871158045, -123.0272751790492",Fair
VERY POOR,"49.240125954888796, -123.11889687961558",
,"49.24013170499378, -123.06755436379308",Very Good
,"49.24013900593997, -123.07450754455736",Very Good
,"49.2401518552864, -123.03961742593297",Very Good
FAIR,"49.24015282178144, -123.07244835497332",
,"49.24015394145114, -123.11895529120031",Very Good
,"49.24015422764711, -123.07562948740143",Very Good
,"49.24015955909441, -123.0698265599616",Fair
,"49.24016761440447, -123.07708381079932",Good
GOOD,"49.24017187431051, -123.0396792290568",
,"49.240173787556884, -123.04298512720368",Poor
,"49.240173984432914, -123.05007588099048",Very Poor
,"49.24017816205558, -123.07830650596036",Very Good
GOOD,"49.24018086098165, -123.07427501827765",
VERY GOOD,"49.240183004702224, -123.03398724527337",
,"49.24018632856825, -123.07170681675369",Very Good
,"49.240189201400554, -123.07956788887799",Very Good
,"49.24019522233186, -123.0807241263764",Good
VERY GOOD,"49.24019574802742, -123.0332999902847",
FAIR,"49.2401982521152, -123.04291414151028",
,"49.2401993595674, -123.039734079975",Fair
GOOD,"49.24020004923871, -123.07566225378513",
,"49.24020113492658, -123.08181376956213",Very Poor
,"49.24020750401717, -123.07311605906523",Good
,"49.2402081467477, -123.15574946663767",Very Good
,"49.24020856557038, -123.08292663732762",Good
GOOD,"49.240212835864575, -123.07704965264182",
,"49.2402158265075, -123.08403942407656",Good
,"49.240223225295374, -123.08515214993358",Good
POOR,"49.24022391009149, -123.07833404689394",
,"49.24022787232945, -123.07443589469239",Fair
,"49.24023076306738, -123.0862649854402",Very Good
,"49.240234254827044, -123.06293442818873",Very Good
FAIR,"49.24023611000364, -123.06286521808458",
POOR,"49.240237500645804, -123.08011986365813",
,"49.240237549238785, -123.08738789103286",Very Good
,"49.24024458692793, -123.0756609689247",Very Good
,"49.24024592412793, -123.08854506907676",Good
POOR,"49.24024659853747, -123.08181645766072",
NO DATA,"49.24025217573197, -123.15570806370496",
,"49.24025306273691, -123.1587290199568",Very Good
FAIR,"49.24025400878415, -123.0829291896676",
,"49.24025495592606, -123.08974059201212",Very Good
,"49.24025736208155, -123.07704713226192",Good
FAIR,"49.240261269275784, -123.08404192456138",
POOR,"49.24026459369085, -123.02852718452178",
,"49.24026618221515, -123.05759857294467",Very Good
,"49.24026842141646, -123.07833172076357",Fair
POOR,"49.24026867786759, -123.08515465492461",
NO DATA,"49.24027435578931, -123.15714334765639",
POOR,"49.24027621456543, -123.08626738016707",
,"49.24027929017154, -123.07959164948481",Fair
POOR,"49.240283007692874, -123.08739385735801",
,"49.240285496772344, -123.08079104777623",Good
,"49.24028716029673, -123.05863454089916",Very Good
,"49.24028761418471, -123.05877193993568",Very Good
,"49.24028849405123, -123.14878725755113",Very Good
,"49.24028999089569, -123.16113153649746",Poor
,"49.24029135811547, -123.08184945083617",Fair
VERY POOR,"49.24029137703732, -123.08854778745255",
VERY GOOD,"49.24029773661229, -123.15871595256462",
,"49.24029859054804, -123.08293790367311",Fair
FAIR,"49.240300445934196, -123.08973604030845",
,"49.240305690770434, -123.08402648059185",Fair
,"49.240309617883995, -123.1237104844615",Good
VERY POOR,"49.24030983170094, -123.0587021010404",
,"49.24031317437498, -123.08515015456962",Very Good
,"49.24031358017958, -123.09363686978122",Very Good
,"49.24031541529217, -123.15684473551417",Very Good
,"49.24031802843119, -123.14864867326543",Very Good
,"49.240319036533464, -123.02445715732128",Very Good
,"49.24032092188397, -123.08629401680224",Very Good
,"49.24032735180916, -123.08735979009352",Poor
,"49.240327742607505, -123.12357245436833",Very Good
GOOD,"49.240332726585365, -123.12363997334364",
,"49.240332860909376, -123.16410897712186",Very Good
VERY GOOD,"49.240334781105204, -123.16112632782131",
,"49.240336237908465, -123.08858394468298",Very Poor
,"49.24033888726376, -123.0575176683198",Very Good
,"49.24034268598431, -123.15870663234928",Very Good
,"49.24034469091909, -123.08970416433571",Very Poor
,"49.2403486213405, -123.06525115738624",Very Good
,"49.24035083549976, -123.15177116932966",Very Good
,"49.24035137510148, -123.11610219496433",Very Good
,"49.240352926288665, -123.15190850936249",Very Good
VERY GOOD,"49.2403577674251, -123.05769136056102",
VERY POOR,"49.24035888543992, -123.0936297611488",
,"49.24035903916419, -123.16685482974134",Very Good
POOR,"49.24036243593586, -123.11619830115187",
,"49.24036816591317, -123.1691432354475",Very Good
,"49.24036822218363, -123.03235941878621",Fair
NO DATA,"49.24037746219874, -123.14692957316261",
VERY GOOD,"49.24037767608036, -123.16410678083098",
,"49.240378020742526, -123.17163542991439",Very Good
,"49.240379921080134, -123.16112815410969",Very Good
FAIR,"49.24038065300951, -123.0246216258177",
,"49.240385800112634, -123.09790561248487",Good
,"49.24038887873901, -123.17439785208651",Fair
,"49.240392415648806, -123.048576206566",Very Poor
,"49.24039999052224, -123.17722799159488",Very Good
,"49.2404035080792, -123.0936338456701",Good
FAIR,"49.240403849018875, -123.16685405132611",
VERY GOOD,"49.240405394135834, -123.10916080396476",
,"49.2404088415778, -123.02439007005091",Very Good
,"49.24040985180721, -123.03109313063634",Fair
,"49.24041043487994, -123.18032860136739",Good
GOOD,"49.2404124005274, -123.0323982017404",
VERY GOOD,"49.240412958609014, -123.16914141356675",
,"49.240415967091984, -123.09942946738526",Fair
,"49.240421822824665, -123.18362990185888",Good
,"49.240422790989015, -123.16410573065008",Very Good
GOOD,"49.240422802324204, -123.17163484050732",
,"49.240424205007045, -123.13931176920273",Very Good
,"49.24042642754597, -123.13944910927287",Very Good
VERY POOR,"49.24042774498505, -123.0485317133005",
POOR,"49.24043044213141, -123.09786656628907",
,"49.24043277199243, -123.1867301738623",Fair
FAIR,"49.24043364151754, -123.17439616468359",
VERY POOR,"49.24043368667447, -123.14328425929433",
FAIR,"49.2404372937061, -123.0514673070763",
,"49.24044117485918, -123.05139875470769",Very Good
,"49.24044249247344, -123.18956067115583",Very Good
,"49.24044285830856, -123.10079971422851",Very Good
GOOD,"49.24044474245399, -123.17722617890107",
FAIR,"49.24044715692679, -123.03105393251477",
,"49.24044877121884, -123.14246118247587",Very Good
,"49.24044898640836, -123.1668522065305",Poor
NO DATA,"49.240455164758785, -123.18032408843888",
,"49.24045811146428, -123.16914180474087",Good
POOR,"49.24046195397718, -123.09945947373724",
,"49.24046481275028, -123.04849373335632",Very Poor
POOR,"49.24046526362912, -123.03720086939042",
NO DATA,"49.240466542634906, -123.1836280651961",
,"49.240467965324555, -123.17163467690214",Very Good
GOOD,"49.24046855892283, -123.14239079880947",
,"49.24046887167273, -123.10213418959921",Very Good
,"49.240469302195116, -123.14232306270489",Very Good
,"49.240469977025676, -123.19527877661763",Good
,"49.240475047299725, -123.09786771345972",Good
,"49.240475902380695, -123.1207361739768",Very Good
VERY POOR,"49.24047750941764, -123.18673284358921",
,"49.240477534431506, -123.02963038411907",Good
,"49.24047882345921, -123.17439702166212",Fair
GOOD,"49.24048249336385, -123.02970686610475",
FAIR,"49.24048722715775, -123.18956287015092",
FAIR,"49.24048825418214, -123.10079832931322",
,"49.24048994417384, -123.17722709696854",Good
,"49.24049386423964, -123.10345895912369",Very Good
,"49.240494162932876, -123.12059818386966",Very Good
VERY POOR,"49.24049459007376, -123.12066586032026",
POOR,"49.24049729866369, -123.19232419997941",
,"49.24049793141112, -123.03104915042807",Fair
,"49.24050037986618, -123.18032763059391",Very Good
,"49.240506048937554, -123.02976523188177",Poor
,"49.24050656762462, -123.09945999494529",Very Good
,"49.24051177201474, -123.18362893157503",Good
POOR,"49.240514196900406, -123.10213034866858",
FAIR,"49.240514490835125, -123.19525029902886",
,"49.24052272171725, -123.1867290910879",Very Good
,"49.24053243794113, -123.18955945612358",Very Good
,"49.240532771378106, -123.10079567258332",Very Good
,"49.24053363661415, -123.04387640519077",Poor
,"49.240535311994435, -123.0405547407721",Very Good
FAIR,"49.24053839771272, -123.10341434591247",
,"49.24054251554427, -123.19232245148578",Good
GOOD,"49.24055662043069, -123.04061531512201",
,"49.240558787900014, -123.10213015052676",Very Good
,"49.240559931048125, -123.19527786050591",Good
POOR,"49.24056261246982, -123.10470520606971",
,"49.24056570340674, -123.08803072513355",Very Good
,"49.24057391500179, -123.0859656574478",Very Good
,"49.24057736922338, -123.0249991823597",Very Good
,"49.2405823039673, -123.10337687151122",Good
,"49.240582936798205, -123.0406712936832",Fair
FAIR,"49.24058298935076, -123.04386673785827",
POOR,"49.2405842533748, -123.0534917591609",
,"49.24060728822443, -123.10470888668237",Very Good
,"49.24060814237875, -123.09040758428169",Very Good
,"49.24061032962701, -123.06077312609594",Good
,"49.240621655572795, -123.04383248345039",Fair
,"49.24062471298209, -123.0251359223453",Very Good
,"49.24062780648065, -123.06408175870716",Poor
VERY GOOD,"49.24063862196604, -123.10764714748377",
VERY POOR,"49.24064279254652, -123.10601688829735",
GOOD,"49.240655648718395, -123.06077495603",
FAIR,"49.24067312414261, -123.06407889203142",
VERY POOR,"49.24069372978005, -123.1000972571443",
,"49.24070026558322, -123.06077019342817",Fair
,"49.24071774628802, -123.06407878822786",Very Good
,"49.24072343776963, -123.15482576074228",Very Good
,"49.24073199425543, -123.05323995266784",Very Good
VERY GOOD,"49.240734423573976, -123.02461905081707",
,"49.24073763198947, -123.1184532566881",Very Good
GOOD,"49.24073846684378, -123.15013196789396",
,"49.24073947012893, -123.05445216987901",Good
,"49.240742632986546, -123.15747024293731",Very Good
VERY GOOD,"49.24074410585006, -123.15754319293397",
,"49.24074450629078, -123.02446171560517",Very Good
,"49.240744676019034, -123.15760975581776",Very Good
VERY POOR,"49.240749352010205, -123.15488162367357",
,"49.24076350877713, -123.11832190814732",Very Good
,"49.24076940897994, -123.04573928456017",Very Good
,"49.240776545433754, -123.15493664264996",Good
,"49.24078630591597, -123.15963246734314",Very Good
,"49.24078695610379, -123.15040146341892",Very Good
,"49.24078842330616, -123.15976980798385",Poor
GOOD,"49.24078929194135, -123.15970011328115",
GOOD,"49.24079653209408, -123.05452011265007",
VERY POOR,"49.24079903070766, -123.14725579966601",
VERY GOOD,"49.24080001593524, -123.10972826221092",
,"49.240806011235904, -123.06652095801402",Good
,"49.24080793800526, -123.06665830917073",Good
FAIR,"49.24081184411674, -123.0457795307603",
FAIR,"49.240816503847405, -123.06659002118037",
VERY POOR,"49.240817426415795, -123.0333851683716",
,"49.24082147672325, -123.05458907243433",Very Good
,"49.24082856683823, -123.06807465600251",Very Good
,"49.240829385081625, -123.16245502660448",Very Good
,"49.24083137302178, -123.1625923697412",Very Good
NO DATA,"49.24083228622725, -123.16252267688385",
,"49.24083445881351, -123.02446111433325",Very Good
,"49.24083554338995, -123.04583800749569",Very Good
VERY POOR,"49.240837170021805, -123.08699275509058",
VERY POOR,"49.24084465774229, -123.0679959079279",
FAIR,"49.24085419791939, -123.0891426399784",
,"49.240857429559405, -123.03828979492957",Very Good
,"49.240865781169674, -123.07091235769353",Very Good
VERY GOOD,"49.24086687168674, -123.07084303819491",
,"49.24086851719462, -123.05070900388046",Very Good
FAIR,"49.240872343651624, -123.16565622475552",
,"49.24087248751552, -123.1655884514041",Very Good
,"49.240873702317614, -123.16572582957166",Very Good
,"49.240877244434685, -123.14087084559897",Fair
,"49.240881677479614, -123.08698939386315",Very Good
GOOD,"49.24088194491847, -123.16802049269208",
,"49.24088247924408, -123.16795270405753",Very Good
,"49.240883243894686, -123.07227202927533",Very Good
VERY GOOD,"49.24088350084674, -123.07220273183044",
,"49.240891215577705, -123.17017938860364",Very Good
VERY POOR,"49.24089269406789, -123.13895965974687",
VERY POOR,"49.24089286439584, -123.1702471612926",
GOOD,"49.24089669868673, -123.03825521624191",
,"49.240898748056686, -123.08914253071902",Good
GOOD,"49.24090007478485, -123.17301227730438",
,"49.24090200546723, -123.17294445755863",Very Good
,"49.24090221292019, -123.07355072343151",Very Good
POOR,"49.240905262158414, -123.07361873535342",
FAIR,"49.24091208693162, -123.17577075327554",
,"49.24091324086889, -123.17584031615871",Very Good
,"49.240920096468415, -123.04149789821851",Very Good
,"49.240921077107316, -123.07482823849517",Good
VERY POOR,"49.240922146617145, -123.14086188051431",
VERY POOR,"49.240922608272015, -123.07489628390084",
,"49.240922997909486, -123.07496559494216",Very Good
GOOD,"49.240923471905774, -123.17867263167092",
,"49.24092390509719, -123.17860481257303",Fair
