Condition_x,Coordinates,Condition_y
GOOD,"49.206110590054564, -123.14642386389002",
GOOD,"49.20611613380805, -123.05225571841885",
,"49.20611993063158, -123.04236705717074",Very Good
,"49.2061670447764, -123.02340594818922",Very Good
VERY POOR,"49.206184062470015, -123.10243653753903",
,"49.206184670371925, -123.02715275989914",Very Good
,"49.206253529794964, -123.03800681813055",Very Good
,"49.206254324494765, -123.13025426326136",Very Good
FAIR,"49.206258594238975, -123.11631223636635",
,"49.206268326235445, -123.03745922211294",Very Good
,"49.20627102607131, -123.02711433235157",Very Good
,"49.20627884459343, -123.13039075690655",Good
FAIR,"49.20628216076122, -123.13037382835142",
,"49.206295165628084, -123.05058312714046",Fair
,"49.206297804928646, -123.12765434103042",Very Good
,"49.20629992716799, -123.1316419048781",Fair
,"49.20630232533151, -123.13177915052451",Very Poor
GOOD,"49.20630271776992, -123.13170843454488",
POOR,"49.20630828976963, -123.12758319187846",
VERY GOOD,"49.206312159950755, -123.04226772184143",
VERY GOOD,"49.20632560199261, -123.06181492517004",
FAIR,"49.2063266114441, -123.13335727256904",
,"49.20632752254069, -123.13329062499899",Very Poor
,"49.20632959654711, -123.13342787222624",Good
,"49.20634681688159, -123.13461132444839",Very Good
,"49.20634880580535, -123.13474857183013",Good
VERY GOOD,"49.20634978764027, -123.13467780631454",
,"49.2063534351948, -123.04222291326946",Very Good
,"49.20636427233041, -123.0450079241706",Very Good
,"49.206368977030365, -123.13614219691426",Good
FAIR,"49.206370926678915, -123.13620869149675",
,"49.206371009835095, -123.13627944345497",Good
,"49.206391951877094, -123.13767185319523",Very Good
POOR,"49.20639211510712, -123.11907980182133",
,"49.2063940130638, -123.13780909893346",Very Good
,"49.206395645665786, -123.03080419601098",Very Good
GOOD,"49.206396157770236, -123.13773825021715",
,"49.206399291414364, -123.14545894554264",Very Good
,"49.2064038223095, -123.06351136156397",Fair
NO DATA,"49.20640839892875, -123.10686137028549",
VERY GOOD,"49.20640928520529, -123.04499823146361",
,"49.20641408442235, -123.1406673946107",Very Good
,"49.206414973328165, -123.13920204340194",Good
FAIR,"49.206416154585426, -123.13926855983232",
,"49.20641703157152, -123.13933930107677",Fair
,"49.206434527852586, -123.14052935492116",Very Good
,"49.20644479440026, -123.05692174731587",Very Good
VERY GOOD,"49.20644723451761, -123.05685299199335",
,"49.20644735075209, -123.14232000606611",Very Good
,"49.206457427401546, -123.05960712081546",Very Good
,"49.20646862999273, -123.1421876966958",Good
VERY GOOD,"49.20647496165709, -123.10820115443154",
VERY GOOD,"49.206493887894624, -123.03946690798978",
VERY GOOD,"49.20651114482231, -123.03666271184223",
,"49.20652216279271, -123.03674448532337",Fair
,"49.20654842792207, -123.06288832294473",Very Good
,"49.20655941458576, -123.12638287630203",Fair
,"49.20662407724192, -123.04078597082501",Very Good
,"49.20663069313853, -123.12561170224087",Very Good
,"49.206632175680475, -123.06283820876939",Very Good
GOOD,"49.206645622066254, -123.06414049005876",
GOOD,"49.20665843843537, -123.04225985724888",
,"49.20665955473442, -123.0403526391166",Very Good
VERY GOOD,"49.20669027213827, -123.04496716016192",
VERY GOOD,"49.20671362797512, -123.05953356737385",
VERY POOR,"49.2067275072331, -123.10684423844135",
,"49.206739011894165, -123.04496954647341",Fair
VERY POOR,"49.20676611709296, -123.11278093836424",
,"49.20684278791723, -123.12827311307173",Fair
,"49.20684796272697, -123.14811181344626",Good
,"49.20686013999705, -123.12957538562725",Good
VERY GOOD,"49.20686906431912, -123.12693303458305",
VERY POOR,"49.20687161728818, -123.1085469938539",
,"49.206881031617215, -123.13099724469065",Good
VERY GOOD,"49.20688743514972, -123.1282301147947",
,"49.206888248009655, -123.03380686936009",Very Good
,"49.20688988710479, -123.06523234190449",Very Good
VERY GOOD,"49.20689205048659, -123.06141733227928",
,"49.206893761588525, -123.12473089918262",Very Good
VERY GOOD,"49.206905722028196, -123.12960271659321",
VERY GOOD,"49.206906980112535, -123.14811992916562",
,"49.206908170633824, -123.13251540642804",Very Poor
,"49.206913721392404, -123.12692920429922",Good
POOR,"49.20692614608795, -123.13098896693123",
,"49.2069313122589, -123.13399850771906",Fair
,"49.20693225002936, -123.1282353187965",Good
,"49.20695052347267, -123.12960680153434",Very Good
,"49.20695225426111, -123.13542406486371",Good
VERY POOR,"49.20695316037062, -123.13250546550798",
,"49.206970958916045, -123.13099409804549",Very Good
,"49.206974701093, -123.13695450256964",Good
FAIR,"49.20697644986235, -123.13399460025435",
VERY GOOD,"49.20699738472028, -123.13542204506027",
,"49.20699786048668, -123.13848516332209",Good
,"49.20699809921901, -123.13251217719703",Very Good
,"49.20700443612311, -123.12472177337354",Very Good
,"49.20701897442755, -123.13991399321955",Very Good
FAIR,"49.20701979593801, -123.1369524360394",
,"49.20702124197969, -123.13399527731883",Good
,"49.20704093691816, -123.1414063605893",Good
,"49.20704218401125, -123.1354208439121",Very Good
VERY POOR,"49.207042929790305, -123.13848280428334",
,"49.20705666416868, -123.12202692841178",Very Good
VERY POOR,"49.20705781191017, -123.10464184174516",
,"49.207060842652, -123.0614742462533",Very Good
,"49.20706327457834, -123.14294489032709",Very Good
FAIR,"49.20706400966558, -123.1399102488015",
,"49.207064621895846, -123.13695127750307",Good
,"49.20707072934723, -123.04775580659589",Good
FAIR,"49.20707324944007, -123.04768710332385",
POOR,"49.2070783092412, -123.09121912481565",
,"49.207080687586846, -123.04761864809416",Very Good
,"49.20708384525382, -123.10045447278208",Very Good
GOOD,"49.2070859847619, -123.14140633232742",
,"49.20708778581049, -123.13848195477144",Good
VERY GOOD,"49.20709583911933, -123.12214455008602",
,"49.20709681150703, -123.05596943363575",Very Good
VERY GOOD,"49.20710778469856, -123.14290927937392",
,"49.207108907471294, -123.1399108077988",Very Good
GOOD,"49.20712649535202, -123.14527914311944",
,"49.20713086901072, -123.14140320495464",Fair
,"49.20713244197323, -123.05820112045976",Very Good
VERY POOR,"49.20714547627604, -123.11024287678214",
,"49.2071532102269, -123.14294183626957",Very Good
,"49.207186727689674, -123.05597654424135",Very Good
VERY GOOD,"49.207205505642854, -123.03946268503285",
,"49.20723012138377, -123.05822071542934",Very Good
,"49.207283423436834, -123.03789610963847",Very Good
POOR,"49.20731707625993, -123.09823412434956",
,"49.2073290897662, -123.12022648212158",Very Good
POOR,"49.20735399210881, -123.06615040583696",
GOOD,"49.20736966269619, -123.06566251569049",
GOOD,"49.207373636698726, -123.12019027683782",
,"49.207377217929235, -123.12357966931374",Very Good
VERY GOOD,"49.207384825122666, -123.10928783629305",
,"49.207389383608806, -123.06699117213692",Poor
POOR,"49.20740506786295, -123.10048247818656",
,"49.207439073539014, -123.0505546577245",Very Good
GOOD,"49.207450453254204, -123.04224351111638",
,"49.20745463449275, -123.0423113212307",Very Good
,"49.207455876654116, -123.04217410688665",Very Good
,"49.207475856652174, -123.12359920269274",Very Good
,"49.20751026762569, -123.14049134012885",Good
,"49.207512313441796, -123.14062859542608",Poor
,"49.20752861595229, -123.05056772298667",Very Good
POOR,"49.20754390119393, -123.05681883201264",
,"49.2075505815621, -123.0568867083505",Very Good
,"49.207555320938305, -123.1421497914286",Very Good
,"49.20758788769573, -123.1422860083122",Good
VERY POOR,"49.20759965930207, -123.12501152320485",
,"49.20763566591387, -123.12634563310476",Poor
VERY POOR,"49.20763595816497, -123.12626671745866",
,"49.20764469226994, -123.06188337637411",Very Good
,"49.20765201714134, -123.1274529888413",Good
FAIR,"49.20765244318104, -123.1275197112754",
,"49.20765406046038, -123.1275902439759",Good
