Coordinates,Amenity
"49.234828524100536, -123.10558057236206",bikeways
"49.234868030956704, -123.15766399423508",parking
"49.234919117645774, -123.03721301597633",parking
"49.234938770448785, -123.11613664568027",bikeways
"49.23494488415216, -123.08477761848809",bikeways
"49.23495941876865, -123.1361713344514","schools, schools"
"49.23496119310284, -123.0971380730584",bikeways
"49.23497979515191, -123.1238222951068",bikeways
"49.23498059950876, -123.17304409379881",bikeways
"49.23498468894315, -123.18533481798697",bikeways
"49.23503183287153, -123.19685172290959",bikeways
"49.235047598521014, -123.19746141772997",bikeways
"49.23510303077081, -123.1476579090291",bikeways
"49.23510729851453, -123.05171490372113",bikeways
"49.235143685334286, -123.0587971541166",bikeways
"49.23527996430514, -123.15564394043345",parking
"49.23528257418634, -123.04883142960034",bikeways
"49.23528439657714, -123.10556222860217",bikeways
"49.23529729544737, -123.19824171273626",bikeways
"49.23539714705274, -123.08476593919417",bikeways
"49.23544250574621, -123.19686288753255",bikeways
"49.23545156585779, -123.17304288671852",bikeways
"49.235452486527436, -123.18532569206664",bikeways
"49.23547505597222, -123.1988982571241",bikeways
"49.23549898308126, -123.1557890026252",parking
"49.235586822778636, -123.07417585607611",bikeways
"49.23562336826515, -123.07970983246925",bikeways
"49.2356448226614, -123.09711103701898",bikeways
"49.23564643723141, -123.05879134261235",bikeways
"49.235657818390166, -123.19958049382238",bikeways
"49.235725, -123.152674",parks
"49.23573955288259, -123.10554767176171",bikeways
"49.2357653, -123.0479743",gardens
"49.23583649931953, -123.20023624899",bikeways
"49.235845155150884, -123.04918514328745",bikeways
"49.23584548799053, -123.19687385076239",bikeways
"49.23584858160823, -123.04977487862125",bikeways
"49.23584916329996, -123.08475402379462",bikeways
"49.23585054741625, -123.05011745905907",bikeways
"49.235852173856266, -123.05041226827973",bikeways
"49.23585691099446, -123.0511692457819",bikeways
"49.235862086133686, -123.051878446536",bikeways
"49.23586405807239, -123.05222031520351",bikeways
"49.235865708129, -123.05253031046325",bikeways
"49.235867131416626, -123.05283728887919",bikeways
"49.23586944002181, -123.05333205060657",bikeways
"49.23587261990802, -123.05394604156615",bikeways
"49.23587593155612, -123.05456077591506",bikeways
"49.23587909673546, -123.05517621437549",bikeways
"49.235887297725945, -123.05678489312852",bikeways
"49.23589118222282, -123.0267861170377",bikeways
"49.23589500338124, -123.15561894852361",parking
"49.23589581748334, -123.0584371255751",bikeways
"49.23589971561682, -123.05912947143847",bikeways
"49.235906171511274, -123.06039862403202",bikeways
"49.23591162254534, -123.06151923544797",bikeways
"49.23591364692477, -123.0619043356339",bikeways
"49.23592152649983, -123.06343336889455",bikeways
"49.23593013667218, -123.06510905006076",bikeways
"49.235945, -123.067051",parks
"49.235945148740775, -123.06691167074283",dog_parks
"49.23602518195681, -123.0970964247404",bikeways
"49.23603456049936, -123.14762354191336",bikeways
"49.23603517960711, -123.17304141367822",bikeways
"49.236069918570735, -123.18531416407231",bikeways
"49.236117, -123.031094",parks
"49.236130003861604, -123.12378304452322",bikeways
"49.236164574337565, -123.08474564023261",bikeways
"49.23616824506754, -123.17345921",schools
"49.23619123641013, -123.10553255748079",bikeways
"49.236212, -123.18568",gardens
"49.236214071090934, -123.06701301720744",bikeways
"49.2362316, -123.0311899",gardens
"49.236236, -123.029179",parks
"49.23625931197657, -123.19688335306182",bikeways
"49.23626222524558, -123.2017859302407",bikeways
"49.2363215748598, -123.11608142390777",bikeways
"49.23634859906753, -123.032313","schools, schools, schools"
"49.23637152782165, -123.08473494928923",bikeways
"49.23641454317739, -123.07940154813957",bikeways
"49.23641588315052, -123.062090127381",bikeways
"49.23642172892453, -123.07996747230207",bikeways
"49.236426060058534, -123.18283766912859",bikeways
"49.23642817035638, -123.08042355708935",bikeways
"49.236431837432015, -123.08069434687386",bikeways
"49.236431895039544, -123.15522235281043",bikeways
"49.23643402076106, -123.1844842257951",bikeways
"49.2364350335234, -123.0809327240573",bikeways
"49.2364391600398, -123.18567554170812",bikeways
"49.23644141732506, -123.18642695106686",bikeways
"49.236442332440284, -123.08149730137751",bikeways
"49.23644446747859, -123.18750976336338",bikeways
"49.236448545130514, -123.18890907743943",bikeways
"49.236451249065354, -123.08219773061991",bikeways
"49.236452559748955, -123.19028866092776",bikeways
"49.23645647571582, -123.19164452031671",bikeways
"49.2364579536319, -123.08275411296086",bikeways
"49.23646052217635, -123.19303260051386",bikeways
"49.236464522460636, -123.08331029738495",bikeways
"49.236464742591, -123.19453024312531",bikeways
"49.236469277498784, -123.19610166136029",bikeways
"49.23646946561335, -123.08372598793427",bikeways
"49.236472766039995, -123.08399652351972",bikeways
"49.23647635569275, -123.0842990656138",bikeways
"49.23647964510214, -123.08458529938281",bikeways
"49.23648297101647, -123.0848784161616",bikeways
"49.2364873305579, -123.08526193364092",bikeways
"49.23649186004437, -123.08564188763575",bikeways
"49.236497292548876, -123.0860928756213",bikeways
"49.236503981089086, -123.08664916212746",bikeways
"49.2365065053137, -123.17304015454802",bikeways
"49.2365090359111, -123.0870724769477",bikeways
"49.236515233539286, -123.0876293360763",bikeways
"49.23651621028279, -123.06862151383571",bikeways
"49.23652182105997, -123.08817456406061",bikeways
"49.236527380611555, -123.08847330036461",bikeways
"49.23653210984757, -123.0887928304712",bikeways
"49.23653895695008, -123.08938862440002",bikeways
"49.23654886920047, -123.09014571598067",bikeways
"49.2365575, -123.084388",gardens
"49.2366135, -123.0328014","cultural, cultural, cultural, cultural, cultural"
"49.23661411693456, -123.05174158697376",bikeways
"49.23661524532375, -123.07414176305818",bikeways
"49.23663138312636, -123.14760145924099",bikeways
"49.236643551089855, -123.10551375978181",bikeways
"49.23664762061752, -123.07911072699439",bikeways
"49.236648, -123.0896066",gardens
"49.23665840286644, -123.1820110264218",bikeways
"49.236670972663994, -123.155590065627",parking
"49.236672295641036, -123.1853071313673",bikeways
"49.23670604321169, -123.09707126325931",bikeways
"49.23672090138019, -123.06930930945062",bikeways
"49.23673222606754, -123.05745595",schools
"49.236751148985086, -123.0706918577225",bikeways
"49.23678860001865, -123.09045317125066",bikeways
"49.236793632654496, -123.07207064067825",bikeways
"49.23680200540165, -123.20375089766134",bikeways
"49.2368137201466, -123.07344770949479",bikeways
"49.2368300167967, -123.07482558536474",bikeways
"49.23684575132073, -123.07620375314156",bikeways
"49.236862422384974, -123.07758196347041",bikeways
"49.23686747753114, -123.17303837894028",bikeways
"49.23687813421144, -123.07868899824247",bikeways
"49.2369358, -123.1218448",gardens
"49.236965, -123.136982","cultural, cultural"
"49.2370120002216, -123.15557698746379",parking
"49.23701754188701, -123.11266724422093",bikeways
"49.23703901133376, -123.09118158406322",bikeways
"49.23705255250711, -123.1119749393209",bikeways
"49.23705645424717, -123.12375138120113",bikeways
"49.23705706394965, -123.1853050883114",bikeways
"49.237066, -123.036887",parks
"49.237066844495644, -123.1117976469993",bikeways
"49.237071262644264, -123.09277157798493",bikeways
"49.237083339050656, -123.11387154963562",bikeways
"49.23709496575858, -123.10549713291306",bikeways
"49.237098, -123.051061",parks
"49.23710229432304, -123.18200642742356",bikeways
"49.23710310616513, -123.09433913001145",bikeways
"49.23711627206752, -123.07309884",schools
"49.23712079104478, -123.11113371193538",bikeways
"49.23713125971864, -123.09572569757201",bikeways
"49.237138631208595, -123.11457326462448",bikeways
"49.23715168793603, -123.0967264083805",bikeways
"49.23716671759959, -123.1149285556157",bikeways
"49.23719273968834, -123.06207969662493",bikeways
"49.23719409102607, -123.11023031947938",bikeways
"49.23720054515562, -123.09934318390314",bikeways
"49.23720179571069, -123.11539533681142",bikeways
"49.23722768871788, -123.20530063207742",bikeways
"49.237232588840044, -123.11583023469629",bikeways
"49.23723961934796, -123.1730361615357",bikeways
"49.23724090535028, -123.0741201588519",bikeways
"49.23724621006754, -123.15157081",schools
"49.23724828429379, -123.10956281388786",bikeways
"49.23726370891918, -123.10259404072733",bikeways
"49.237264073944374, -123.1165163277914",bikeways
"49.23728903611385, -123.15343060436416",schools
"49.237293277372586, -123.11736249576009",bikeways
"49.237301293684844, -123.10452285415316",bikeways
"49.23730153, -123.0359184",ev_charging
"49.2373021075637, -123.10890036338986",bikeways
"49.23731912647359, -123.1181176346629",bikeways
"49.2373192567393, -123.18530329985468",bikeways
"49.23733958867409, -123.11871671488278",bikeways
"49.23734354169937, -123.10670081118596",bikeways
"49.237347827523735, -123.10824120103287",bikeways
"49.237352645281135, -123.11909435187161",bikeways
"49.23735807298274, -123.14750700146253",bikeways
"49.237359393549106, -123.08467746338003",bikeways
"49.23737153282484, -123.11963223666653",bikeways
"49.23738896537544, -123.12012698071479",bikeways
"49.237402244815286, -123.12050687747879",bikeways
"49.23742396903794, -123.1211387465285",bikeways
"49.23744900639087, -123.12187310165189",bikeways
"49.237471348589914, -123.12252513450649",bikeways
"49.237476893641315, -123.17303478282471",bikeways
"49.23748508873107, -123.12292538971674",bikeways
"49.23750094433047, -123.12338827222067",bikeways
"49.237501631148845, -123.03370590892874",schools
"49.2375047, -123.1280384",gardens
"49.23751872352835, -123.18200450262484",bikeways
"49.23758494499565, -123.12584169712456",bikeways
"49.23758625529151, -123.18530109132755",bikeways
"49.237598, -123.097473",parks
"49.2376052, -123.0975115",gardens
"49.23760909784326, -123.0970366107615",bikeways
"49.2376550062524, -123.15555798881904",parking
"49.237664646904165, -123.12817105266662",bikeways
"49.23767771140002, -123.12855384757411",bikeways
"49.237709317996604, -123.12947876232926",bikeways
"49.23774, -123.0302",gardens
"49.23777234745658, -123.13132279801282",bikeways
"49.23777693811994, -123.0309061044379",bikeways
"49.23778463, -123.0749085",ev_charging
"49.237788210435646, -123.06207227319493",bikeways
"49.23779204269339, -123.11094065628153",dog_parks
"49.237817397020905, -123.17303275656316",bikeways
"49.237848703898806, -123.13355115645648",bikeways
"49.23787232195111, -123.07410112994657",bikeways
"49.23792849738236, -123.13588368473458",bikeways
"49.237936562973445, -123.18200098255474",bikeways
"49.23793824869165, -123.14693207951161",bikeways
"49.23795036894717, -123.18529848624542",bikeways
"49.23799677363148, -123.13787370167746",bikeways
"49.238032814604075, -123.13887722409987",bikeways
"49.23804902300526, -123.13926647817442",bikeways
"49.23806096140673, -123.13998428348653",bikeways
"49.23807981411931, -123.14128214978902",bikeways
"49.23810457766628, -123.14272404613034",bikeways
"49.238114800850234, -123.16209828723368",schools
"49.23812059079731, -123.05176947077697",bikeways
"49.238120936457946, -123.1438210638755",bikeways
"49.23813758506754, -123.19781516",schools
"49.23814457786195, -123.14541215392838",bikeways
"49.238164818889096, -123.14679137440694",bikeways
"49.23818354622656, -123.14803895700328",bikeways
"49.23820419773597, -123.14939655528566",bikeways
"49.238220847724065, -123.15046972876257",bikeways
"49.23824006154311, -123.11619262178554",bikeways
"49.23825961116582, -123.15304543961712",bikeways
"49.238285747365694, -123.09700967139165",bikeways
"49.23828943895218, -123.15501379773505",bikeways
"49.23829211664344, -123.1730298827276",bikeways
"49.23829397640189, -123.15528990266783",bikeways
"49.23829411668095, -123.07408913567",bikeways
"49.238301508486586, -123.15576771874719",bikeways
"49.2383151932477, -123.15664147152886",bikeways
"49.23833309642961, -123.15777884371346",bikeways
"49.238353528605785, -123.15908800895005",bikeways
"49.23835463877376, -123.18199586975098",bikeways
"49.23836723241725, -123.18529464980345",bikeways
"49.2383682179288, -123.032121133566",bikeways
"49.23837727050308, -123.14623073903093",bikeways
"49.238386464557124, -123.16120228841108",bikeways
"49.238390851643665, -123.12704483617387",dog_parks
"49.23839380523484, -123.03180671710777",transit
"49.23839639446557, -123.12073903667343",bikeways
"49.238425171090135, -123.16366884273971",bikeways
"49.238445, -123.125795",parks
"49.23844875625537, -123.12370377376335",bikeways
"49.238452938412905, -123.16523546382632",bikeways
"49.238472, -123.128627","cultural, cultural, cultural, cultural, cultural"
"49.238478, -123.075308",parks
"49.2384815559383, -123.075480182997","cultural, cultural, cultural, cultural, cultural"
"49.23850474985154, -123.1669064921726",bikeways
"49.23851382462105, -123.16917072922801",bikeways
"49.23851972221298, -123.06206462260728",bikeways
"49.23852363556298, -123.17164828618087",bikeways
"49.23853451030152, -123.17441096766619",bikeways
"49.23854459747555, -123.17690211354127",bikeways
"49.23855024801402, -123.17835221031731",bikeways
"49.238557497305635, -123.1803436398047",bikeways
"49.238589734520104, -123.1583740282814",bikeways
"49.23869172293212, -123.03290019353696",bikeways
"49.23869391154742, -123.09699307201774",bikeways
"49.23876665091805, -123.17302700652174",bikeways
"49.23880418419987, -123.1457317412294",bikeways
"49.23888401282892, -123.10551993677002",greenways
"49.23892127841484, -123.05178395729038",bikeways
"49.238933234418916, -123.06240013328951",bikeways
"49.238935581914845, -123.06282363701641",bikeways
"49.23894774746742, -123.1054256400221",bikeways
"49.23897014662238, -123.03356753896665",bikeways
"49.23904049933242, -123.08462950154824",bikeways
"49.23904968190381, -123.18529133022487",bikeways
"49.239063714562604, -123.09697743731799",bikeways
"49.23907791250673, -123.15825778928073",bikeways
"49.23912807908303, -123.03394854645033",bikeways
"49.2391360361958, -123.0740597737083",bikeways
"49.23914937383667, -123.05217553991238",bikeways
"49.23915226270754, -123.06290037148382",bikeways
"49.239174885069104, -123.14562703340941",bikeways
"49.239181, -123.131293",parks
"49.23919071656698, -123.15026577355167",greenways
"49.23924159533209, -123.17302413267677",bikeways
"49.23932503229645, -123.03442605422114",bikeways
"49.239398178144384, -123.14561879945809",bikeways
"49.239425327093315, -123.09696234315649",bikeways
"49.239493578781506, -123.05240684127696",bikeways
"49.239559758272165, -123.15804172477681",bikeways
"49.23958483642553, -123.0628863089892",bikeways
"49.23960495630109, -123.1206966707844",bikeways
"49.23963096106753, -123.12579095999999","schools, schools, schools, schools, schools"
"49.23970692251572, -123.05219847678855",bikeways
"49.23971235462081, -123.14560739122051",bikeways
"49.23971651483233, -123.17302128935165",bikeways
"49.239749318623076, -123.11749903876111",bikeways
"49.239761795638046, -123.18528606323409",bikeways
"49.239839947083915, -123.03567815074553",bikeways
"49.239870902864546, -123.05203832657962",bikeways
"49.23993214374836, -123.06287505425526",bikeways
"49.23993429898381, -123.15787150231108",bikeways
"49.239972333802314, -123.07403049771287",bikeways
"49.24000552423302, -123.09693862150716",bikeways
"49.24005398241576, -123.08459966214339",bikeways
"49.24010354568206, -123.18528316587238",bikeways
"49.240111, -123.043697",gardens
"49.24011663336918, -123.17301890685606",bikeways
"49.24014848040079, -123.06286808135691",bikeways
"49.240151694876225, -123.05176405099125",bikeways
"49.24017408664318, -123.07383149084893",bikeways
"49.240175044537295, -123.15776197641175",bikeways
"49.2402632911317, -123.08435482959771",bikeways
"49.240265835725516, -123.15256235749543",bikeways
"49.240330553256086, -123.12364004621617",bikeways
"49.2403337, -123.0881324",cultural
"49.24034012596786, -123.18528099211235",bikeways
"49.240342917712695, -123.08411301691469",bikeways
"49.24035372318143, -123.17301750195988",bikeways
"49.2403942, -123.0491218",gardens
"49.240450575597926, -123.06285829647256",bikeways
"49.24046500405558, -123.03720029805201",bikeways
"49.240485813948624, -123.05143600443235",bikeways
"49.24049680397997, -123.12066576979262",bikeways
"49.24051741331894, -123.15760137650288",bikeways
"49.24054116475576, -123.08410557633594",bikeways
"49.2406492, -123.0657006","cultural, cultural, cultural, cultural"
"49.2406636, -123.0902841",gardens
"49.240664919238526, -123.17301466012448",bikeways
"49.2407102703167, -123.18527772366085",bikeways
"49.240745464937966, -123.11838560125894",bikeways
"49.24074994537381, -123.05111697486639",bikeways
"49.240796536606624, -123.09690669480538",bikeways
"49.24087655193641, -123.06284427518787",bikeways
"49.24088537690334, -123.05083198598848",bikeways
"49.24089577198338, -123.03825289709766",bikeways
"49.240902, -123.155935",parks
"49.24090363758751, -123.07361878239338",bikeways
"49.240949829199366, -123.14556502608696",bikeways
"49.240978, -123.112028",parks
"49.240989789820034, -123.15748065530038",bikeways
"49.24101049112998, -123.0504721078267",bikeways
"49.241012821670346, -123.10533428453753",bikeways
"49.24104455496579, -123.14767820093378",bikeways
"49.24109974832122, -123.11885717741814",bikeways
"49.241136, -123.084974",parks
"49.24113875735323, -123.17300985199994",bikeways
"49.24114024900205, -123.1199611833859",bikeways
"49.241184888591974, -123.18527332447374",bikeways
"49.241205823634694, -123.12173052001681",bikeways
"49.24121522106756, -123.10063141",schools
"49.2412439475593, -123.15857708216723",bikeways
"49.241261540504524, -123.12321229737665",bikeways
"49.241287335105035, -123.05007689663655",bikeways
"49.24129551597376, -123.06283030659117",bikeways
"49.241299228053535, -123.03924091038886",bikeways
"49.24142469506758, -123.0516408",schools
"49.24143649870858, -123.12063548163964",bikeways
"49.2414955, -123.0480587",gardens
"49.24149750182645, -123.1596732138756",bikeways
"49.241503108372264, -123.08406878660641",bikeways
"49.24154569570824, -123.10731001432394",bikeways
"49.24161294525821, -123.17300505139126",bikeways
"49.24162118641544, -123.11841496207978",bikeways
"49.24163298196497, -123.04973833542783",bikeways
"49.241658545256925, -123.18526903363654",bikeways
"49.24168549549253, -123.040186845287",bikeways
"49.2416922650002, -123.104291617649","cultural, cultural, cultural, cultural, cultural"
"49.24169281356134, -123.0968691306092",bikeways
"49.24180800011305, -123.04629151946213",bikeways
"49.24181270253102, -123.04694004382037",bikeways
"49.24182627228705, -123.106207925337",dog_parks
"49.24192595247475, -123.0494522495059",bikeways
"49.241944229212045, -123.08495018892324",schools
"49.24194897979051, -123.17300167915515",bikeways
"49.24196200074409, -123.15965509271552",bikeways
"49.241971057342056, -123.12061729611307",bikeways
"49.241973664072596, -123.14616793819114",bikeways
"49.24197450977024, -123.12924444498044",greenways
"49.24198489447355, -123.14690694710548",bikeways
"49.241987, -123.104361",parks
"49.241988884362335, -123.14713151757712",bikeways
"49.242002, -123.030451",parks
"49.242010180461904, -123.14834348626577",bikeways
"49.24203, -123.111815","cultural, cultural, cultural, cultural, cultural"
"49.24203328589198, -123.1496539469857",bikeways
"49.24205272042469, -123.15074247868179",bikeways
"49.24206908706756, -123.02567271",schools
"49.24207324227343, -123.15192512671865",bikeways
"49.242077, -123.113759","cultural, cultural, cultural, cultural, cultural"
"49.24208943843088, -123.1528500838844",bikeways
"49.242102559994976, -123.06280425824401",bikeways
"49.24213195712308, -123.18526514263986",bikeways
"49.2421764807645, -123.04789742070699",bikeways
"49.24218623779156, -123.17299933569261",bikeways
"49.24219217553488, -123.15976402141159",bikeways
"49.2422618736359, -123.04911911938974",bikeways
"49.24229459116002, -123.04582401028985",bikeways
"49.2423142917912, -123.07357725849218",bikeways
"49.24237335861046, -123.04865384665143",bikeways
"49.24240075824358, -123.10527571376045",bikeways
"49.24243190966638, -123.08403149661302",bikeways
"49.24245318681668, -123.09683696518769",bikeways
"49.242480342937306, -123.04213362124548",bikeways
"49.24248561504342, -123.12059979180292",bikeways
"49.242517459945496, -123.08423051180456",bikeways
"49.24251968896013, -123.08452997812415",bikeways
"49.242523320959364, -123.0850005942159",bikeways
"49.242528446562034, -123.08567391876205",bikeways
"49.24253729251032, -123.08694047723796",bikeways
"49.242550573644266, -123.0887573526681",bikeways
"49.24255932234998, -123.08995230536759",bikeways
"49.242561731403256, -123.17299557020763",bikeways
"49.24256932157807, -123.09062164240355",bikeways
"49.242569698631335, -123.02399579302225",bikeways
"49.24257249707901, -123.02461055766557",bikeways
"49.242611766035274, -123.09258347897291",bikeways
"49.242653, -123.106679",parks
"49.2426791986749, -123.09552375051746",bikeways
"49.24268348036328, -123.08402312509028",bikeways
"49.24270365773592, -123.11833966058653",bikeways
"49.24270585111578, -123.09716148364484",bikeways
"49.242762114560016, -123.14550940477545",bikeways
"49.24277967034978, -123.02372095000447",bikeways
"49.24278873927963, -123.16070735060505",bikeways
"49.2428154263277, -123.188251960704","cultural, cultural, cultural, cultural, cultural"
"49.24283349011789, -123.0256707816511",bikeways
"49.242891620676865, -123.0348073745407","schools, schools"
"49.24290633469533, -123.09693653556948",bikeways
"49.242951881537124, -123.06250104176895",bikeways
"49.24296214782778, -123.09748662219825",bikeways
"49.24298494, -123.10448685",gardens
"49.24301156259638, -123.12058345519767",bikeways
"49.24303618409187, -123.17299077509364",bikeways
"49.243050165875516, -123.08401290794075",bikeways
"49.243052637834666, -123.04509217526393",bikeways
"49.24309791365466, -123.14769992982717",dog_parks
"49.24319729623595, -123.04388893949115",bikeways
"49.24322327799905, -123.09796560310596",bikeways
"49.24323448556043, -123.09858506318726",bikeways
"49.243240633893, -123.09890637219154",bikeways
"49.243241934047106, -123.02669379970763",bikeways
"49.24324922017787, -123.09935858289883",bikeways
"49.243256291615126, -123.09980199487104",bikeways
"49.24326508197426, -123.10032534457952",bikeways
"49.24327823990301, -123.10101263697585",bikeways
"49.24328624995282, -123.06212390491976",bikeways
"49.24329048559282, -123.10166089857873",bikeways
"49.243297052965445, -123.1021466593022",bikeways
"49.243299808869914, -123.10248843253558",bikeways
"49.243309294225746, -123.10297403267231",bikeways
"49.243312527653046, -123.07354353196321",bikeways
"49.2433148146181, -123.09692541724681",bikeways
"49.24332041200437, -123.10347412682972",bikeways
"49.243321028728126, -123.18525117330987",bikeways
"49.24332583322231, -123.10379628316666",bikeways
"49.243326, -123.188166",parks
"49.24333138687735, -123.10412361808568",bikeways
"49.2433424987842, -123.10476869853103",bikeways
"49.24336575300161, -123.04330900108242",bikeways
"49.24339780003429, -123.08400338372361",bikeways
"49.2434131423881, -123.0444157341828",bikeways
"49.243422198891615, -123.02726838272176",bikeways
"49.24346137299184, -123.11774412282777",bikeways
"49.24346676999821, -123.06192020702616",bikeways
"49.243501262727555, -123.15080025250731",bikeways
"49.24351052971798, -123.17298596647353",bikeways
"49.24356378036646, -123.12056656875558",bikeways
"49.2435725684453, -123.04480479771419",bikeways
"49.243584, -123.045562",gardens
"49.243640093655394, -123.02778498537184",bikeways
"49.24366857443017, -123.04503906231196",bikeways
"49.243681, -123.106551",ev_charging
"49.24369, -123.148865",parks
"49.24372457050689, -123.09691427307884",bikeways
"49.2437635060121, -123.06158710906347",bikeways
"49.243806635266715, -123.04537588549304",bikeways
"49.24383441297135, -123.0428546591631",bikeways
"49.2438551796743, -123.16218737971779",bikeways
"49.243909994685716, -123.0279012925229",bikeways
"49.243921, -123.047574",parks
"49.243945407174365, -123.1052067628513",bikeways
"49.24395070148505, -123.11018014460238",bikeways
"49.24398206, -123.1867492",ev_charging
"49.24398513713952, -123.17298117128334",bikeways
"49.24408089821229, -123.08398471784454",bikeways
"49.24408883111575, -123.04606432582926",bikeways
"49.244095719866195, -123.12054690741805",bikeways
"49.244119250161816, -123.09690335340719",bikeways
"49.244135784677255, -123.06117050276866",bikeways
"49.24415417309526, -123.16314301795326",bikeways
"49.244156609067566, -123.07817551",schools
"49.24416834150339, -123.1639176419156",bikeways
"49.244232, -123.028792",parks
"49.244237035714335, -123.16280148178359",bikeways
"49.24424259217731, -123.04594067398634",transit
"49.2442721, -123.1852852",gardens
"49.244279523994635, -123.02754077189144",bikeways
"49.24430270509244, -123.04242096467705",bikeways
"49.244310699826094, -123.19677844283082",greenways
"49.24435370259236, -123.11635642302615",bikeways
"49.244396, -123.165105",parks
"49.244397, -123.156429",parks
"49.24443843294186, -123.04680930569006",bikeways
"49.2444599221781, -123.17297637922441",bikeways
"49.24449254845559, -123.16478163660916",bikeways
"49.244504937223205, -123.0735002207086",bikeways
"49.24452017678364, -123.0607405490685",bikeways
"49.244523140697446, -123.02760304508286",bikeways
"49.24452503677921, -123.02806020625793",bikeways
"49.2445266243755, -123.02851270557929",bikeways
"49.244527095521434, -123.03016209151374",bikeways
"49.24452723172969, -123.02968677356348",bikeways
"49.24452728406579, -123.02900578546516",bikeways
"49.24452735303877, -123.02938788704671",bikeways
"49.24453610867197, -123.03182366564207",bikeways
"49.24454154898199, -123.09689196770499",bikeways
"49.244547028473065, -123.14546200008215",bikeways
"49.244551844830035, -123.03323685163474",bikeways
"49.24455350945401, -123.07505286065046",bikeways
"49.244555376677425, -123.03366426397942",bikeways
"49.24455865525027, -123.03410321171648",bikeways
"49.244559, -123.0483891","cultural, cultural, cultural, cultural, cultural"
"49.24456111915687, -123.0343939356129",bikeways
"49.24456324565357, -123.07593745558529",bikeways
"49.24456549943199, -123.03534238609258",bikeways
"49.244568273778896, -123.12052885411953",bikeways
"49.24456970270718, -123.0364796606305",bikeways
"49.244570124380914, -123.0766023469156",bikeways
"49.24457256332594, -123.03797634874736",bikeways
"49.24457485586163, -123.07724846011185",bikeways
"49.24457770057212, -123.03972964005892",bikeways
"49.244581998776205, -123.0782155778114",bikeways
"49.2445837922833, -123.04086848051979",bikeways
"49.24458863769168, -123.04177404432654",bikeways
"49.244589375672945, -123.07918178020756",bikeways
"49.244594054176936, -123.07982700139203",bikeways
"49.244598030346566, -123.08044820473576",bikeways
"49.24460108464448, -123.08104334232311",bikeways
"49.24460422475111, -123.08168828546576",bikeways
"49.24460768536438, -123.0823805832216",bikeways
"49.24461024670536, -123.08289428517168",bikeways
"49.244613310494614, -123.0835164416531",bikeways
"49.24461506413132, -123.04768117173433",bikeways
"49.24461828867766, -123.0485809131951",bikeways
"49.244620715685585, -123.04928188268339",bikeways
"49.24462234285931, -123.04999345208557",bikeways
"49.244622591684546, -123.05154661844149",bikeways
"49.244622794793216, -123.05069753441926",bikeways
"49.24470507020434, -123.17507131392392",dog_parks
"49.244734, -123.108417",parks
"49.244747396631084, -123.18523482093075",bikeways
"49.244757, -123.058517",parks
"49.244757887858974, -123.07450234133776",bikeways
"49.24477295680216, -123.16540603667363",bikeways
"49.24478070076159, -123.10143215634636",parking
"49.24480717808602, -123.06044880060846",bikeways
"49.24482576297525, -123.083964443058",bikeways
"49.24482945829498, -123.05204341505913",bikeways
"49.2448437, -123.1012058","cultural, cultural, cultural, cultural"
"49.244886326638394, -123.10115078319197",parking
"49.244900838106744, -123.14823403394037",bikeways
"49.24493038, -123.1501499",ev_charging
"49.24493476, -123.1501761",ev_charging
"49.24493500447777, -123.17297158059274",bikeways
"49.244951, -123.175247",parks
"49.24495191593878, -123.03386827446758",bikeways
"49.24498305306758, -123.15953565",schools
"49.24500224076356, -123.15284464349338",bikeways
"49.24501341135763, -123.11183307760176",bikeways
"49.24502, -123.13364",parks
"49.24502800894402, -123.12051343919",bikeways
"49.24503669030814, -123.04964039011864",bikeways
"49.24508575128888, -123.16669599090471",bikeways
"49.245121175282456, -123.16245555945787",bikeways
"49.24512908269543, -123.16092069488724",bikeways
"49.24515444701255, -123.11341492592264",bikeways
"49.245177237689994, -123.07448768406131",bikeways
"49.245182267113464, -123.1150160756569",bikeways
"49.24519664897316, -123.11610572104915",bikeways
"49.24521439098399, -123.09687364129738",bikeways
"49.24522102757167, -123.11761462491519",bikeways
"49.24524350972261, -123.05204396290524",bikeways
"49.24524539792203, -123.08395410654298",bikeways
"49.24524855261863, -123.10141087037029",parking
"49.245249015060246, -123.11235348020972",bikeways
"49.24525355370658, -123.11954200752368",bikeways
"49.245293304799794, -123.10113279134045",parking
"49.24529869781603, -123.10514499599876",bikeways
"49.24532077406758, -123.07246012",schools
"49.24534963774391, -123.1537565738835",bikeways
"49.24535518407344, -123.0604236581755",bikeways
"49.24535917518564, -123.15987955431262",bikeways
"49.24538055736259, -123.07380754303189",bikeways
"49.245385382409935, -123.0743129592987",bikeways
"49.24539103423162, -123.16791195137863",bikeways
"49.24539418877014, -123.1640675066308",bikeways
"49.24549694975739, -123.11234290896877",bikeways
"49.24551558703041, -123.04963907882056",bikeways
"49.2455678, -123.0929942",gardens
"49.24560789561985, -123.15448582069372",bikeways
"49.24561872600172, -123.04686329404511",greenways
"49.24564756813635, -123.17296458870199",bikeways
"49.24565738012029, -123.05204411620885",bikeways
"49.2456730329975, -123.07345918984336",bikeways
"49.245696391952336, -123.18522595843605",bikeways
"49.245730276019884, -123.04963958943586",bikeways
"49.24573052297307, -123.1204904650558",bikeways
"49.2458170940368, -123.03383205384785",bikeways
