Coordinates,Amenity
"49.20859188265179, -123.14432237713329",bikeways
"49.20859880853564, -123.1448084375924",bikeways
"49.20861364743972, -123.14577540859968",bikeways
"49.20869081545956, -123.07727626339891",bikeways
"49.20869227255824, -123.0819377536103",bikeways
"49.20871133830701, -123.14736058939033",bikeways
"49.2087963, -123.1347288","gardens, gardens"
"49.20883459022508, -123.07132870382034",bikeways
"49.20885224350475, -123.12418357972564",bikeways
"49.20892629117624, -123.08079097425444",bikeways
"49.20902282062605, -123.05590050118583",bikeways
"49.20905478550485, -123.12417661559125",bikeways
"49.209055183739466, -123.14470458543852",bikeways
"49.20921403224935, -123.14843708068338",bikeways
"49.209214985509476, -123.07899202730118",bikeways
"49.209279172927765, -123.12416868168225",bikeways
"49.209288543054505, -123.0807493871117",bikeways
"49.20930397057024, -123.07264276067578",bikeways
"49.209336594161506, -123.14208100362511",bikeways
"49.20946001237025, -123.1241625098724",bikeways
"49.20946125532704, -123.11714252917967",bikeways
"49.20948342533645, -123.07560554080706",bikeways
"49.20954787392407, -123.11707077626738",transit
"49.209555906331, -123.15354185569856",bikeways
"49.209683, -123.119179",gardens
"49.20970841446058, -123.12415426936774",bikeways
"49.209813762478106, -123.08073880249309",bikeways
"49.2098916793, -123.117031735",food_vendors
"49.20992388142675, -123.07805330050932",bikeways
"49.209962411067416, -123.13634890999998","schools, schools"
"49.21007004222769, -123.12414184130246",bikeways
"49.210149670926356, -123.12398466485838",greenways
"49.210175108836346, -123.07582857519736",bikeways
"49.21029028177173, -123.0739644682245",bikeways
"49.21032724856611, -123.14204205796729",bikeways
"49.210328812844935, -123.07696514934929",bikeways
"49.21045472102892, -123.12412859872376",bikeways
"49.21051849865033, -123.1407806537874",bikeways
"49.21053140070177, -123.1415691515247",bikeways
"49.21055183995092, -123.1428301787424",bikeways
"49.21056466644452, -123.04189122766611",bikeways
"49.210568819287346, -123.03641426179514",dog_parks
"49.21057741675261, -123.1444048749024",bikeways
"49.210597, -123.119435",parks
"49.21060270583409, -123.14983668328503",bikeways
"49.21061340102512, -123.0807225234304",bikeways
"49.21065159116064, -123.12507592701593",bikeways
"49.210672242845625, -123.12637381470093",bikeways
"49.21068188159394, -123.12706230678641",bikeways
"49.21069232687471, -123.12775389800919",bikeways
"49.21069654461014, -123.09390295477085",parking
"49.21069889645763, -123.14045076841948",bikeways
"49.210703207837796, -123.12844635495347",bikeways
"49.210714101968364, -123.12913538661343",bikeways
"49.210717995067405, -123.11944529999998",schools
"49.21072437059701, -123.12982504851672",bikeways
"49.210734584936255, -123.13051533528504",bikeways
"49.210745267113296, -123.1312058707152",bikeways
"49.21075583678663, -123.13189679058416",bikeways
"49.210766285793596, -123.13258735344976",bikeways
"49.210775408682856, -123.14361606714195",bikeways
"49.21077611357271, -123.1170858364243",bikeways
"49.2107766110897, -123.13327631673364",bikeways
"49.21078677121037, -123.13396453844345",bikeways
"49.2107967585239, -123.13465473021974",bikeways
"49.21080643088767, -123.1353453401813",bikeways
"49.21081587107652, -123.12411689046901",bikeways
"49.210816124932926, -123.13603313583039",bikeways
"49.21082542640176, -123.13669200844595",bikeways
"49.21083128879515, -123.07936656565283",bikeways
"49.210834962682995, -123.13738454036044",bikeways
